日期,收盘,开盘,高,低,交易量,涨跌幅
2017/1/3,12.62,12.68,12.72,12.59,29.12M,-0.55%
2017/1/4,12.71,12.64,12.72,12.6,28.20M,0.71%
2017/1/5,12.7,12.7,12.77,12.67,21.19M,-0.08%
2017/1/6,12.71,12.73,12.84,12.68,27.01M,0.08%
2017/1/9,12.73,12.7,12.76,12.69,20.15M,0.16%
2017/1/10,12.73,12.77,12.78,12.7,15.03M,0.00%
2017/1/11,12.7,12.73,12.75,12.68,21.78M,-0.24%
2017/1/12,12.66,12.69,12.72,12.64,16.82M,-0.31%
2017/1/13,12.78,12.66,12.79,12.66,17.74M,0.95%
2017/1/16,12.94,12.73,13.04,12.7,69.74M,1.25%
2017/1/17,12.92,12.93,13.04,12.87,17.51M,-0.15%
2017/1/18,12.93,12.96,12.99,12.91,15.34M,0.08%
2017/1/19,12.93,12.91,13.03,12.89,16.58M,0.00%
2017/1/20,12.96,12.92,13.01,12.92,10.70M,0.23%
2017/1/23,13,13.01,13.08,12.97,17.95M,0.31%
2017/1/24,13.06,13.02,13.08,12.99,10.24M,0.46%
2017/1/25,13.03,13.05,13.07,12.97,12.31M,-0.23%
2017/1/26,13.02,13.05,13.06,13,8.52M,-0.08%
2017/2/3,12.91,13.05,13.07,12.9,9.31M,-0.84%
2017/2/6,12.97,12.94,13.02,12.9,9.93M,0.46%
2017/2/7,12.98,12.98,13.02,12.94,8.12M,0.08%
2017/2/8,13.1,13,13.12,12.98,19.31M,0.92%
2017/2/9,13.06,13.1,13.1,13.04,11.94M,-0.31%
2017/2/10,13.12,13.08,13.15,13.05,13.68M,0.46%
2017/2/13,13.15,13.13,13.16,13.07,19.38M,0.23%
2017/2/14,13.14,13.14,13.18,13.11,9.90M,-0.08%
2017/2/15,13.18,13.16,13.22,13.09,16.49M,0.30%
2017/2/16,13.17,13.17,13.21,13.11,14.89M,-0.08%
2017/2/17,13.12,13.17,13.2,13.1,10.63M,-0.38%
2017/2/20,13.27,13.12,13.28,13.11,18.41M,1.14%
2017/2/21,13.23,13.27,13.29,13.2,12.85M,-0.30%
2017/2/22,13.19,13.25,13.25,13.11,17.01M,-0.30%
2017/2/23,13.18,13.18,13.21,13.09,17.46M,-0.08%
2017/2/24,13.14,13.16,13.19,13.06,15.20M,-0.30%
2017/2/27,13.01,13.12,13.14,12.97,25.94M,-0.99%
2017/2/28,12.97,13.04,13.06,12.91,25.93M,-0.31%
2017/3/1,13,12.96,13.06,12.96,15.40M,0.23%
2017/3/2,13,13.04,13.08,12.98,13.55M,0.00%
2017/3/3,13.02,13.04,13.04,12.96,12.13M,0.15%
2017/3/6,12.98,13.04,13.06,12.96,19.53M,-0.31%
2017/3/7,12.96,12.97,13.02,12.94,17.76M,-0.15%
2017/3/8,12.97,12.95,13.01,12.95,11.09M,0.08%
2017/3/9,12.99,12.95,13,12.87,18.87M,0.15%
2017/3/10,12.9,12.95,12.99,12.88,15.94M,-0.69%
2017/3/13,13.02,12.95,13.05,12.91,16.04M,0.93%
2017/3/14,13.08,13.04,13.1,12.99,16.01M,0.46%
2017/3/15,13.17,13.12,13.31,13.1,45.92M,0.69%
2017/3/16,13.17,13.13,13.23,13.12,22.13M,0.00%
2017/3/17,13.15,13.17,13.2,13.07,21.96M,-0.15%
2017/3/20,13.18,13.25,13.3,13.15,23.98M,0.23%
2017/3/21,13.21,13.17,13.24,13.15,20.93M,0.23%
2017/3/22,13.17,13.16,13.23,13.13,17.32M,-0.30%
2017/3/23,13.26,13.2,13.36,13.17,29.16M,0.68%
2017/3/24,13.42,13.26,13.43,13.24,22.97M,1.21%
2017/3/27,13.34,13.42,13.47,13.31,26.27M,-0.60%
2017/3/28,13.27,13.37,13.37,13.23,20.23M,-0.52%
2017/3/29,13.27,13.27,13.35,13.22,14.86M,0.00%
2017/3/30,13.25,13.25,13.29,13.14,27.07M,-0.15%
2017/3/31,13.27,13.23,13.32,13.22,13.55M,0.15%
2017/4/5,13.31,13.3,13.36,13.27,20.43M,0.30%
2017/4/6,13.26,13.34,13.35,13.25,18.33M,-0.38%
2017/4/7,13.27,13.26,13.32,13.21,15.63M,0.08%
2017/4/10,13.3,13.28,13.36,13.23,17.58M,0.23%
2017/4/11,13.29,13.32,13.34,13.19,23.08M,-0.08%
2017/4/12,13.55,13.27,13.56,13.24,36.10M,1.96%
2017/4/13,13.57,13.5,13.65,13.46,20.74M,0.15%
2017/4/14,13.55,13.56,13.62,13.42,23.91M,-0.15%
2017/4/17,13.52,13.5,13.55,13.37,20.73M,-0.22%
2017/4/18,13.46,13.48,13.53,13.45,11.14M,-0.44%
2017/4/19,13.47,13.45,13.59,13.41,24.23M,0.07%
2017/4/20,13.66,13.5,13.75,13.46,23.31M,1.41%
2017/4/21,13.81,13.61,13.82,13.6,35.34M,1.10%
2017/4/24,13.81,13.74,13.84,13.54,57.45M,0.00%
2017/4/25,13.69,13.74,13.78,13.6,20.60M,-0.87%
2017/4/26,13.92,13.68,14.06,13.63,37.35M,1.68%
2017/4/27,13.89,13.86,13.99,13.81,16.45M,-0.22%
2017/4/28,13.89,13.88,13.91,13.78,12.01M,0.00%
2017/5/2,14,13.89,14.2,13.89,33.88M,0.79%
2017/5/3,14,13.96,14.13,13.93,20.81M,0.00%
2017/5/4,14,14,14.06,13.96,17.13M,0.00%
2017/5/5,14.06,14,14.07,13.83,29.05M,0.43%
2017/5/8,14.16,14,14.18,13.96,29.48M,0.71%
2017/5/9,13.97,14.13,14.17,13.95,16.21M,-1.34%
2017/5/10,13.97,14,14.05,13.85,23.70M,0.00%
2017/5/11,14.1,13.91,14.14,13.91,21.44M,0.93%
2017/5/12,14.12,14.06,14.19,14.05,9.75M,0.14%
2017/5/15,14.21,14.1,14.24,14.1,17.15M,0.64%
2017/5/16,14.33,14.22,14.35,14.16,20.41M,0.84%
2017/5/17,14.2,14.33,14.36,14.17,15.02M,-0.91%
2017/5/18,14.24,14.15,14.26,14.15,15.18M,0.28%
2017/5/19,14.29,14.2,14.31,14.18,15.61M,0.35%
2017/5/22,14.56,14.29,14.57,14.26,26.86M,1.89%
2017/5/23,14.76,14.57,14.78,14.47,38.94M,1.37%
2017/5/24,14.78,14.72,14.8,14.54,32.01M,0.14%
2017/5/25,14.69,14.71,14.76,14.62,19.94M,-0.61%
2017/5/26,14.64,14.61,14.69,14.48,30.33M,-0.34%
2017/5/31,14.81,14.56,14.87,14.33,61.81M,1.16%
2017/6/1,15.03,14.75,15.05,14.68,35.48M,1.49%
2017/6/2,14.98,14.99,15.15,14.94,20.88M,-0.33%
2017/6/5,14.78,14.91,15.01,14.73,22.79M,-1.34%
2017/6/6,14.78,14.82,14.85,14.57,30.63M,0.00%
2017/6/7,14.8,14.76,14.91,14.7,18.16M,0.14%
2017/6/8,15.05,14.79,15.06,14.75,25.27M,1.69%
2017/6/9,14.88,15.08,15.15,14.84,28.95M,-1.13%
2017/6/12,14.89,14.83,14.95,14.8,16.13M,0.07%
2017/6/13,14.7,14.88,14.9,14.65,29.58M,-1.28%
2017/6/14,14.53,14.73,14.74,14.47,37.28M,-1.16%
2017/6/15,14.4,14.53,14.54,14.38,18.70M,-0.89%
2017/6/16,14.4,14.41,14.48,14.38,15.51M,0.00%
2017/6/19,14.53,14.43,14.53,14.42,15.91M,0.90%
2017/6/20,14.56,14.55,14.61,14.48,22.36M,0.21%
2017/6/21,14.71,14.68,14.73,14.51,25.62M,1.03%
2017/6/22,14.81,14.71,14.88,14.67,30.17M,0.68%
2017/6/23,14.88,14.82,14.9,14.78,18.75M,0.47%
2017/6/26,14.95,14.91,15.02,14.88,21.19M,0.47%
2017/6/27,15.01,15.01,15.04,14.95,18.11M,0.40%
2017/6/28,15,15.02,15.11,14.9,18.42M,-0.07%
2017/6/29,15.19,15.07,15.23,15.02,21.30M,1.27%
2017/6/30,15.38,15.1,15.39,15.07,27.12M,1.25%
2017/7/3,15.34,15.39,15.47,15.23,24.52M,-0.26%
2017/7/4,15.41,15.32,15.43,15.14,26.30M,0.46%
2017/7/5,15.19,15.4,15.43,15.12,25.52M,-1.43%
2017/7/6,15.25,15.2,15.27,15.14,19.75M,0.39%
2017/7/7,15.34,15.23,15.37,15.12,20.62M,0.59%
2017/7/10,15.52,15.38,15.58,15.3,18.20M,1.17%
2017/7/11,15.63,15.52,15.68,15.45,14.18M,0.71%
2017/7/12,15.33,15.66,15.7,15.26,26.58M,-1.92%
2017/7/13,15.21,15.37,15.37,15.13,30.64M,-0.78%
2017/7/14,14.85,14.58,14.86,14.56,39.78M,-2.37%
2017/7/17,14.98,14.88,15,14.68,26.79M,0.88%
2017/7/18,14.94,14.95,15.02,14.88,18.19M,-0.27%
2017/7/19,14.91,14.91,15,14.84,18.52M,-0.20%
2017/7/20,15.1,14.92,15.1,14.9,14.02M,1.27%
2017/7/21,15.03,15.04,15.15,14.99,10.38M,-0.46%
2017/7/24,14.92,15.04,15.11,14.91,12.68M,-0.73%
2017/7/25,14.89,14.9,15.01,14.82,16.70M,-0.20%
2017/7/26,14.97,14.82,15,14.78,22.22M,0.54%
2017/7/27,15.01,14.95,15.07,14.93,17.01M,0.27%
2017/7/28,15.32,14.99,15.33,14.99,18.38M,2.07%
2017/7/31,15.21,15.3,15.35,15.12,11.86M,-0.72%
2017/8/1,15.29,15.24,15.35,15.2,11.30M,0.53%
2017/8/2,15.48,15.3,15.5,15.3,14.39M,1.24%
2017/8/3,15.49,15.47,15.62,15.45,17.12M,0.06%
2017/8/4,14.98,15.45,15.5,14.94,45.50M,-3.29%
2017/8/7,15.02,14.95,15.06,14.77,32.38M,0.27%
2017/8/8,14.91,15.03,15.05,14.82,20.96M,-0.73%
2017/8/9,14.92,14.93,14.96,14.84,14.15M,0.07%
2017/8/10,15.05,14.95,15.08,14.78,25.74M,0.87%
2017/8/11,15.12,14.96,15.25,14.96,33.29M,0.47%
2017/8/14,15.02,15.2,15.23,14.94,24.26M,-0.66%
2017/8/15,15.09,15.04,15.23,15.02,20.73M,0.47%
2017/8/16,15.34,15.09,15.35,15.09,20.80M,1.66%
2017/8/17,15.33,15.36,15.45,15.31,18.15M,-0.07%
2017/8/18,15.42,15.3,15.44,15.27,7.63M,0.59%
2017/8/21,15.28,15.38,15.49,15.22,12.95M,-0.91%
