Date,600276,600900,601318,600276_Return,600900_Return,601318_Return
2017/1/3,29.49,12.62,35.66,,,
2017/1/4,29.86,12.71,35.7,0.012468569283859754,0.007106228088295641,0.001121076350599104
2017/1/5,29.86,12.7,35.73,0.0,-0.0007870917368171249,0.0008399832497252291
2017/1/6,29.48,12.71,35.44,-0.012807724789908548,0.0007870917368171249,-0.008149546298438448
2017/1/9,29.21,12.73,35.44,-0.009200950921486317,0.0015723273679522087,0.0
2017/1/10,29.51,12.73,35.24,0.010218072555198798,0.0,-0.005659324668901178
2017/1/11,29.02,12.7,35.23,-0.016743941498806425,-0.0023594191047693336,-0.0002838087148329116
2017/1/12,29.01,12.66,35.2,-0.00034464932272904036,-0.003154576748515492,-0.0008519097490946592
2017/1/13,29.27,12.78,35.55,0.008922502570481772,0.00943403223335837,0.009894073645198453
2017/1/16,29.8,12.94,36.17,0.017945292807564073,0.01244184012336591,0.017289889714756868
2017/1/17,29.67,12.92,35.98,-0.004371959208627985,-0.0015467907182986629,-0.005266817441619498
2017/1/18,29.82,12.93,36.22,0.0050428750338618045,0.00077369442931019,0.006648223932880004
2017/1/19,30.1,12.93,36.06,0.009345862418237427,0.0,-0.004427234680095982
2017/1/20,30.13,12.96,36.25,0.0009961813873800018,0.0023174981403628614,0.005255163525512696
2017/1/23,30.52,13.0,36.19,0.012860853274046402,0.0030816665374078234,-0.0016565437250326553
2017/1/24,30.03,13.06,36.18,-0.016185324421017278,0.004604766386748338,-0.00027635760850230895
2017/1/25,30.63,13.03,36.44,0.01978303884944488,-0.002299732711531277,0.007160592424608758
2017/1/26,30.66,13.02,36.52,0.000978952598984062,-0.0007677543563304745,0.002192983335010279
2017/2/3,31.34,12.91,35.62,0.02193636348420691,-0.008484431921872204,-0.024952777865252518
2017/2/6,30.95,12.97,35.94,-0.01252223779727002,0.004636793469801503,0.008943603493897445
2017/2/7,30.74,12.98,36.06,-0.006808261020155193,0.0007707129475913455,0.0033333364197583037
2017/2/8,30.94,13.1,36.02,0.00648510703447025,0.009202518931161752,-0.0011098780273610664
2017/2/9,30.86,13.06,36.11,-0.0025889982099052133,-0.0030581063588206447,0.0024954955415563695
2017/2/10,30.65,13.12,36.2,-0.006828184552794436,0.004583659667658058,0.002489283542359111
2017/2/13,30.7,13.15,36.31,0.001629992210931075,0.002283975107830294,0.0030340665945187695
2017/2/14,30.97,13.14,36.1,0.008756339391959855,-0.0007607455673088737,-0.005800320087409272
2017/2/15,30.69,13.18,36.32,-0.00908212535346653,0.0030395160178966485,0.00607568839425765
2017/2/16,31.67,13.17,36.3,0.031432991918903586,-0.0007590133191714976,-0.0005508124622877197
2017/2/17,31.46,13.12,36.26,-0.006652962920416616,-0.003803732239246571,-0.001102535944100147
2017/2/20,31.89,13.27,36.82,0.013575583391834734,0.011368064828173097,0.015325970478226925
2017/2/21,31.95,13.23,36.77,0.001879699801577317,-0.003018870217252001,-0.0013588804917512576
2017/2/22,32.03,13.19,36.82,0.0025007827975231933,-0.003028011397641084,0.0013588804917512576
2017/2/23,32.26,13.18,36.52,0.007155109075995814,-0.0007584376548619431,-0.00818112007816385
2017/2/24,32.92,13.14,36.56,0.02025230311180648,-0.0030395160178966485,0.0010946908591815685
2017/2/27,32.57,13.01,36.32,-0.010688756520726983,-0.009942720532050586,-0.006586192852856776
2017/2/28,32.3,12.97,36.23,-0.008324389059531256,-0.003079294196061344,-0.002481048826107113
2017/3/1,26.62,13.0,36.16,-0.19340441726164537,0.0023103591331841145,-0.001933969383010048
2017/3/2,26.5,13.0,35.86,-0.0045180799747890354,0.0,-0.008331067346988963
2017/3/3,26.6,13.02,35.85,0.0037664827954770885,0.0015372793188865863,-0.000278901131357312
2017/3/6,26.82,12.98,35.83,0.008236662065878697,-0.0030769255044793553,-0.0005580357287668924
2017/3/7,27.32,12.96,35.96,0.018471156849056758,-0.0015420203518150544,0.0036216782865570174
2017/3/8,27.45,12.97,35.82,0.004747133252950508,0.0007713074042237089,-0.00390081297085354
2017/3/9,27.33,12.99,35.78,-0.004381168015563208,0.0015408323541556967,-0.0011173185519925966
2017/3/10,27.39,12.9,35.6,0.002192983335010279,-0.006952519314881833,-0.005043440222588291
2017/3/13,27.11,13.02,35.97,-0.01027531976441276,0.009259325412796837,0.010339619849547343
2017/3/14,27.18,13.08,35.94,0.0025787452124235166,0.004597709248629123,-0.0008343763521194703
2017/3/15,27.91,13.17,35.96,0.026503638825233544,0.006857169726137258,0.0005563282480065546
2017/3/16,27.68,13.17,36.07,-0.008274916798762355,0.0,0.0030542853120283375
2017/3/17,27.76,13.15,35.75,0.002886004889135041,-0.0015197571314162772,-0.00891122577543113
2017/3/20,28.0,13.18,35.83,0.008608374536600127,0.002278770450587775,0.002235262176845776
2017/3/21,28.57,13.21,36.27,0.020152706067477766,0.0022735894598726603,0.012205421977948827
2017/3/22,28.67,13.17,36.0,0.003494063652596857,-0.003032602779044158,-0.007472014838701302
2017/3/23,28.65,13.26,36.57,-0.0006978367345298331,0.006810469002526798,0.015709293705179928
2017/3/24,28.57,13.42,36.55,-0.002796226918067024,0.011994146785819115,-0.0005470459655025905
2017/3/27,28.74,13.34,36.74,0.005932664408197397,-0.0059790910560577615,0.005184893591192452
2017/3/28,28.76,13.27,36.73,0.0006956522019669897,-0.005261192143361626,-0.0002722199554039406
2017/3/29,28.5,13.27,36.78,-0.009081445578241087,0.0,0.0013603593445994377
2017/3/30,28.44,13.25,36.75,-0.0021074823395648146,-0.0015082959118850603,-0.0008159935173295274
2017/3/31,29.02,13.27,37.01,0.02018864252100183,0.0015082959118850603,0.007049920739218951
2017/4/5,29.11,13.31,37.1,0.003096510301490163,0.003009784062903975,0.0024288232153248934
2017/4/6,29.23,13.26,36.96,0.004113821365622439,-0.003763647649303703,-0.0037807228399060477
2017/4/7,29.29,13.27,36.6,0.0020505817164875317,0.0007538635863997278,-0.00978800636616306
